ID,Language_ID,English_Gloss,Form,Inflected_Forms,Comment,Source
lote1237-1-158,lote1237-1,to tie up,kale hit,kale hit-ɛ,"‘tie block’; cf. /kale/ ‘to tie, to fasten’, /hit/ ‘to block, to tie’, /tom/ ‘to fix, to tie’, /tom hit/ ‘to tie up’",Barlow2024
lote1237-1-159,lote1237-1,Indian coral tree (TP: balbal),kaleo,,,Barlow2024
lote1237-1-160,lote1237-1,shield,kaleu,,,Barlow2024
lote1237-1-161,lote1237-1,"spear for shooting fish, spear with multiple prongs",kaliŋo,,"cf. other types /pakpaka/, /raliŋ/, and generic /io/",Barlow2024
lote1237-1-162,lote1237-1,"far, distant",kaŋkaŋa,,reduplication?,Barlow2024
lote1237-1-163,lote1237-1,there (medial demonstrative),kau,,"close to hearer; often has an interrogative function; cf. /la/, /lamam/",Barlow2024
lote1237-1-164,lote1237-1,dog,kaune,,possibly /kaone/,Barlow2024
lote1237-1-165,lote1237-1,preposition (PREP); that (complementizer) (COMP),ke,,,Barlow2024
lote1237-1-166,lote1237-1,to steal,kɛmɛ,kɛmɛ-ia,,Barlow2024
lote1237-1-167,lote1237-1,hard (not soft),kɛrkɛrɛŋ,,reduplication?,Barlow2024
lote1237-1-168,lote1237-1,bone,ki-,"ki-k (1sg), ki-m (2sg), ki-na (3sg)",,Barlow2024
lote1237-1-169,lote1237-1,pig,kiɛ,,,Barlow2024
lote1237-1-170,lote1237-1,plant sp.,kiki,,"reduplication?; same form as /kiki-/ ‘strength, muscle’",Barlow2024
lote1237-1-171,lote1237-1,"strength, muscle",kiki,kiki-na (3sg),reduplication?; same form as /kiki/ ‘plant sp.’,Barlow2024
lote1237-1-172,lote1237-1,to sit,kila,,possibly /kil-a/; also /are/,Barlow2024
lote1237-1-173,lote1237-1,"village, place",kileŋ,,possibly related to /kil/ ‘to sit’,Barlow2024
lote1237-1-174,lote1237-1,to thunder,kileŋ kuruŋ ŋa-,"kileŋ kuruŋ ŋa-na (3sg), kileŋ kuruŋa-ria (3pl)",‘place thunder NMLZ?-POSS’,Barlow2024
lote1237-1-175,lote1237-1,"to lightning, to flash",kileŋ xalɛm ŋa-,"kileŋ xalɛm ŋa-na (3sg), kileŋ xalɛm ŋa-ria (3pl)",‘place lightning NMLZ?-POSS’,Barlow2024
lote1237-1-176,lote1237-1,"small, little (person)",kino,,"cf. /tuna/ ‘small, little (thing)’, /sune/ ‘small, little; a little’",Barlow2024
lote1237-1-177,lote1237-1,"to scrub, to brush, to wipe",kira,kir-ɛ,"cf. /ɛmu/ ‘to rub’, /lomɛ/ ‘to wash, to clean, to wipe’",Barlow2024
lote1237-1-178,lote1237-1,breadfruit,koal,,,Barlow2024
lote1237-1-179,lote1237-1,here (proximal demonstrative); to be here,koi,,"close to speaker; cf. /lai/, /lamai/",Barlow2024
lote1237-1-180,lote1237-1,yellow,koikoi,,reduplication?,Barlow2024
lote1237-1-181,lote1237-1,boy,kol,,,Barlow2024
lote1237-1-182,lote1237-1,bag,kole,,,Barlow2024
lote1237-1-183,lote1237-1,son,kolɛ-,"kolɛ-k (1sg), kolɛ-m (2sg), kolɛ-nɛ (3sg)","likely < /kol/ ‘boy’; also /tu- neŋe tamane/, /tu- tamaneŋana/",Barlow2024
lote1237-1-184,lote1237-1,sweet potato (TP: kaukau),kolompe,,[kolombe],Barlow2024
lote1237-1-185,lote1237-1,hiding,kome,,,Barlow2024
lote1237-1-186,lote1237-1,to hide (something),komɛ,,< /kome/ ‘hiding’,Barlow2024
lote1237-1-187,lote1237-1,"there, yonder (distal demonstrative)",kou,,far from both speaker and hearer; cf. /lamau/,Barlow2024
lote1237-1-188,lote1237-1,"incorrect, wrong, false",koukou,,reduplication?,Barlow2024
lote1237-1-189,lote1237-1,"path, road, trail",kue,,,Barlow2024
lote1237-1-190,lote1237-1,"digit, finger, toe",kuka-,kuka-na (3sg),,Barlow2024
lote1237-1-191,lote1237-1,walking stick,kula,,,Barlow2024
lote1237-1-192,lote1237-1,lime (TP: kambang),kulum,,,Barlow2024
lote1237-1-193,lote1237-1,crab,kume,,,Barlow2024
lote1237-1-194,lote1237-1,"still, yet (incompletive marker (INCMPL)",kura,,postverbal,Barlow2024
lote1237-1-195,lote1237-1,thunder,kuruŋ,"kuruŋ ŋa-na (3sg), kuruŋ ŋa-ria (3pl) (with nominalizer as host for possessive marking?)",,Barlow2024
lote1237-1-196,lote1237-1,"there, thither (medial demonstrative)",la,,"close to hearer; same form as ‘to go’; cf. /lamam/, /kau/",Barlow2024
lote1237-1-197,lote1237-1,to go,la,"la-ia (‘to bring’, transitive version of ‘to go’), la~la (reduplication)","same form as ‘there, thither’",Barlow2024
lote1237-1-198,lote1237-1,where?,la ŋai,,‘there where?’; also /ŋai/,Barlow2024
lote1237-1-199,lote1237-1,"here, hither (proximal demonstrative)",lai,,"close to speaker; cf. /lamai/, /koi/",Barlow2024
